epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.198,0.94535,1.76482,1.23967,0.79222,0.51677,0.61882,0.48094,0.68027,1.09414,1.06661,0.0667377,3.32956e-05,3.32956e-05
2,669.113,0.74067,1.0431,1.09359,0.7601,0.58774,0.66068,0.55036,0.5775,0.82982,0.97337,0.033431,5.99667e-05,5.99667e-05
3,991.411,0.6622,0.8166,1.04223,0.89289,0.64694,0.74936,0.61471,0.53052,0.67562,0.9578,0.000117679,7.99718e-05,7.99718e-05
4,1347.77,0.61245,0.71268,1.01076,0.86671,0.65782,0.76366,0.64338,0.5046,0.59955,0.94752,7.0003e-05,7.0003e-05,7.0003e-05
5,1702.91,0.55538,0.61298,0.97373,0.88271,0.70155,0.79391,0.66658,0.4817,0.5402,0.91597,6.0004e-05,6.0004e-05,6.0004e-05
6,2086.91,0.51996,0.56064,0.95112,0.89818,0.69018,0.79158,0.67593,0.46838,0.52539,0.90036,5.0005e-05,5.0005e-05,5.0005e-05
7,2441.95,0.47683,0.48063,0.92037,0.88562,0.76822,0.82812,0.70849,0.43298,0.44121,0.88887,4.0006e-05,4.0006e-05,4.0006e-05
8,2790.04,0.45272,0.43151,0.9008,0.90166,0.75645,0.82676,0.71418,0.42175,0.44435,0.88959,3.0007e-05,3.0007e-05,3.0007e-05
9,3139.2,0.43106,0.39132,0.89172,0.89003,0.7683,0.82558,0.7167,0.40219,0.41286,0.87873,2.0008e-05,2.0008e-05,2.0008e-05
10,3450.55,0.40772,0.36875,0.88051,0.9078,0.78028,0.8432,0.74088,0.38071,0.37,0.8663,1.0009e-05,1.0009e-05,1.0009e-05
